Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Black Rock Bowling Club,Black Rock,-37.965687,145.019631,Lawn Bowls,3.0,Grass,,,Bayside,6 Fern Street Black Rock 3193,,"['Bayside', 'Black Rock', 'Sports']",,
Brighton Beach Lawn Bowls Club,Brighton,-37.9279,144.9899,Lawn Bowls,5.0,,4. Good,,Bayside,"South Road, Brighton, City of Bayside, Victoria, 3186, Australia",,"['Bayside', 'Brighton', 'Sports']",,
Brighton Bowls Club,Brighton,-37.913204,144.989225,Lawn Bowls,1.0,Grass,,,Bayside,Park Street Brighton 3186,,"['Bayside', 'Brighton', 'Sports']",,
F L Yott Reserve,Beaumaris,-37.991231,145.038711,Lawn Bowls,2.0,Grass,,,Bayside,Martin Street Beaumaris 3193,,"['Bayside', 'Beaumaris', 'Sports']",,
Hampton Bowls Club,Hampton,-37.937635,145.0151,Lawn Bowls,3.0,Grass,,,Bayside,Fewster Road Hampton 3188,,"['Bayside', 'Hampton', 'Sports']",,
Hampton R.S.L Bowling Club,Hampton,-37.932318,144.996143,Lawn Bowls,1.0,Grass,,,Bayside,Hardie Street Hampton 3188,,"['Bayside', 'Hampton', 'Sports']",,
Hardie St Lawn Bowls Club,Hampton,-37.9323,144.9963,Lawn Bowls,,,4. Good,,Bayside,"Hardie Street, Hampton, City of Bayside, Victoria, 3187, Australia",,"['Bayside', 'Hampton', 'Sports']",,
Highett Bowls Club,Highett,-37.95219,145.04381999999998,Lawn Bowls,2.0,Grass,,,Bayside,Graham Road Highett 3190,,"['Bayside', 'Highett', 'Sports']",,
Lyle Anderson Reserve,Highett,-37.9467,145.0266,Lawn Bowls,,,4. Good,,Bayside,"Highett Skate Park, Highett Road, Highett, City of Bayside, Victoria, 3188, Australia",,"['Bayside', 'Highett', 'Sports']",,
Sandringham Bowls Club,Sandringham,-37.962034,145.022221,Lawn Bowls,2.0,Grass,,,Bayside,25 Tulip Street Sandringham 3191,,"['Bayside', 'Sandringham', 'Sports']",,
Beaumaris Motor Yacht Squadron,Beaumaris,-37.990522,145.04406,Sailing,,,,,Bayside,Beach Road Beaumaris 3193,,"['Bayside', 'Beaumaris', 'Sports', 'Sailing']",,
Black Rock Yacht Club,Black Rock,-37.969597,145.010257,Sailing,,,,,Bayside,Beach Road Black Rock 3193,,"['Bayside', 'Black Rock', 'Sports', 'Sailing']",,
Hampton Sailing Club,Sandringham,-37.945854,144.996696,Sailing,,,,,Bayside,Jetty Road Sandringham 3191,,"['Bayside', 'Sandringham', 'Sports', 'Sailing']",,
Royal Brighton Yacht Club,Brighton,-37.909318,144.98581000000001,Sailing,,,,,Bayside,253 The Esplanade Brighton 3186,,"['Bayside', 'Brighton', 'Sports', 'Sailing']",,
Sandringham Yacht Club,Sandringham,-37.946082000000004,144.99632,Sailing,,,,,Bayside,Jetty Road Sandringham 3191,,"['Bayside', 'Sandringham', 'Sports', 'Sailing']",,
Royal Avenue Reserve,Sandringham,-37.959158,145.014708,Skating,1.0,,,,Bayside,Royal Avenue Sandringham 3191,,"['Bayside', 'Sandringham', 'Sports', 'Skating']",,
Beaumaris Life Saving Club,Beaumoris,-37.994446999999994,145.032701,Surf Life Saving,,,,,Bayside,Beach road Beaumoris 3193,,"['Bayside', 'Beaumoris', 'Sports', 'Surf']",,
Black Rock Life Saving Club,Black Rock,-37.974606,145.014612,Surf Life Saving,,,,,Bayside,Beach road Black Rock 3193,,"['Bayside', 'Black Rock', 'Sports', 'Surf']",,
Brighton  Life Saving Club,Brighton,-37.917367,144.986548,Surf Life Saving,,,,,Bayside,The Esplanade Brighton 3186,,"['Bayside', 'Brighton', 'Sports', 'Surf']",,
Half Moon Bay Surf Life Saving Club,Black Rock,-37.968832,145.01113600000002,Surf Life Saving,,,,,Bayside,Beach Road Black Rock 3193,,"['Bayside', 'Black Rock', 'Sports', 'Surf']",,
Hampton Life Saving Club,Hampton,-37.937982,144.997921,Surf Life Saving,,,,,Bayside,Beach Road Hampton 3188,,"['Bayside', 'Hampton', 'Sports', 'Surf']",,
Sandringham Life Saving Club,Sandringham,-37.950689000000004,145.001724,Surf Life Saving,,,,,Bayside,Beach Road Sandringham 3190,,"['Bayside', 'Sandringham', 'Sports', 'Surf']",,
Hampton Tennis Club,Hampton,-37.9345,144.9991,Tennis (Indoor),4.0,,4. Good,,Bayside,"12, Grenville Street, Hampton, City of Bayside, Victoria, 3187, Australia",,"['Bayside', 'Hampton', 'Sports', 'Tennis']",,
Beaumoris Tennis Club,Beaumaris,-37.98199,145.038944,Tennis (Outdoor),13.0,"Clay, Plexipave",,,Bayside,Cloris Avenue Beaumaris 3193,,"['Bayside', 'Beaumaris', 'Sports', 'Tennis']",,
F.G. Tricks Reserve,Black Rock,-37.965208000000004,145.019608,Tennis (Outdoor),4.0,Hard Court,,,Bayside,Fern Street Black Rock 3193,,"['Bayside', 'Black Rock', 'Sports', 'Tennis']",,
St Stevens Tennis Club,Highett,-37.953063,145.033477,Tennis (Outdoor),3.0,Hard Court,,,Bayside,Tibrockney Street Highett 3190,,"['Bayside', 'Highett', 'Sports', 'Tennis']",,
Contours Express Sunbury,Sunbury,-37.57904,144.73463,Aerobics,,,,,Hume,2/33-35 Macedon Street Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Aerobics']",,
Contours Greenvale,Greenvale,-37.639,144.8815,Aerobics,,,,,Hume,16/1 Greenvale Drive Greenvale 3059,,"['Hume', 'Greenvale', 'Sports', 'Aerobics']",,
CrossFit Merciless,Tullamarine,-37.710479,144.855296,Aerobics,,,,,Hume,2/11 Flight Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Aerobics']",,
Curves Gladstone Park,Gladstone Park,-37.689,144.8845,Aerobics,,,,,Hume,204/18-34 Gladstone Park Drive Gladstone Park 3043,,"['Hume', 'Gladstone Park', 'Sports', 'Aerobics']",,
Fernwood Women's Health Club Tullamarine,Tullamarine,-37.701935999999996,144.883313,Aerobics,,,,,Hume,1/10-12 Carrick Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Aerobics']",,
Focus Health and Fitness,Tullamarine,-37.7005,144.885,Aerobics,,,,,Hume,35 Carrick Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Aerobics']",,
Life Fitness Centre,Somerton,-37.641999999999996,144.9465,Aerobics,,,,,Hume,1/40 Somerton Road Somerton 3062,,"['Hume', 'Somerton', 'Sports', 'Aerobics']",,
OnTarget Fitness,Sunbury,-37.566,144.724,Aerobics,,,,,Hume,282 Elizabeth Drive Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Aerobics']",,
Powercore Fitness,Craigieburn,-37.616648,144.948157,Aerobics,,,,,Hume,302 Sydney Road Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Aerobics']",,
Re-creation Health Club Sunbury,Sunbury,-37.582902000000004,144.724,Aerobics,,,,,Hume,73 Horne Street Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Aerobics']",,
Unique Female Fitness,Craigieburn,-37.601,144.94299999999998,Aerobics,,,,,Hume,1 Walters Street Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Aerobics']",,
Boardman Reserve,Sunbury,-37.581565999999995,144.69570900000002,Athletics,1.0,Grass Running Track,4. Good,,Hume,224-256 Mitchells Lane Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Athletics']",,
Laura Douglas Reserve,Dallas,-37.66884,144.940463,Athletics,1.0,Grass Running Track,3. Average,"Female, Male",Hume,57-75 King Street Dallas 3047,,"['Hume', 'Dallas', 'Sports', 'Athletics']",,
Bradford Avenue Reserve,Greenvale,-37.639764,144.88852,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Unisex",Hume,26-40 Bradford Avenue Greenvale 3059,,"['Hume', 'Greenvale', 'Sports', 'Football']",,
Broadmeadows Valley Park,Meadow Heights,-37.665102000000005,144.915255,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Hume,Barry Road Meadow Heights 3047,,"['Hume', 'Meadow Heights', 'Sports', 'Football']",,
Bulla Reserve,Bulla,-37.632403000000004,144.805857,Australian Rules Football,1.0,Grass,4. Good,,Hume,17-45 Green Street Bulla 3428,,"['Hume', 'Bulla', 'Sports', 'Football']",,
D.S. Aitken Reserve,Craigieburn,-37.597342,144.933547,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Hume,136-170 Craigieburn Road West Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Football']",,
Drummond Reserve,Greenvale,-37.654775,144.889303,Australian Rules Football,1.0,Grass,,,Hume,11-25 Drummond Street Greenvale 3059,,"['Hume', 'Greenvale', 'Sports', 'Football']",,
Ginifer Reserve,Gladstone Park,-37.689005,144.899291,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Hume,206-224 Carrick Drive Gladstone Park 3043,,"['Hume', 'Gladstone Park', 'Sports', 'Football']",,
Goonawarra Recreation Reserve,Sunbury,-37.574531,144.75813,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Hume,155 Lancefield Road Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Football']",,
Greenvale Recreation Reserve,Greenvale,-37.636379999999996,144.869666,Australian Rules Football,2.0,Grass,4. Good,"Male, Umpire/Officials",Hume,Section Road Greenvale 3059,,"['Hume', 'Greenvale', 'Sports', 'Football']",,
Highgate Recreation Reserve,Craigieburn,-37.577021,144.92444,Australian Rules Football,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Hume,229 Grand Blvd Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Football']",,
Hothlyn Reserve,Craigieburn,-37.610118,144.934493,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Hume,59-79 Hothlyn Drive Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Football']",,
Jacana Reserve,Broadmeadows,-37.682641,144.9044,Australian Rules Football,2.0,Grass,3. Average,Male,Hume,59-79 Johnstone Street Broadmeadows 3047,,"['Hume', 'Broadmeadows', 'Sports', 'Football']",,
Lakeside Reserve,Roxburgh Park,-37.631221999999994,144.932963,Australian Rules Football,2.0,Grass,4. Good,"Umpire/Officials, Unisex",Hume,27-51 Lakeside Drive Roxburgh Park 3064,,"['Hume', 'Roxburgh Park', 'Sports', 'Football']",,
Leo Dineen Reserve,Tullamarine,-37.702906,144.875723,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Hume,60 Spring Street Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Football']",,
Mc Ewen Drive Reserve,Sunbury,-37.564091999999995,144.727895,Australian Rules Football,1.0,Grass,,,Hume,21-31 McEwen Drive Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Football']",,
Patullos Lane Reserve,Roxburgh Park,-37.621119,144.93338400000002,Australian Rules Football,1.0,Grass,,,Hume,Patullos Lane Roxburgh Park 3064,,"['Hume', 'Roxburgh Park', 'Sports', 'Football']",,
Sunbury Recreation Reserve,Sunbury,-37.57351,144.722593,Australian Rules Football,1.0,Grass,2. Poor,"Female, Umpire/Officials, Unisex",Hume,Riddell Road Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Football']",,
Tulsa Reserve,Sunbury,-37.578844000000004,144.75111,Australian Rules Football,1.0,Grass,,,Hume,2-18 Tulsa Drive Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Football']",,
Victor Foster Reserve,Craigieburn,-37.590317999999996,144.93436,Australian Rules Football,1.0,Grass,3. Average,Male,Hume,16-32 Pines Way Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Football']",,
Westmeadows Reserve,Westmeadows,-37.674469,144.886886,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Hume,136 Ardie Street Westmeadows 3049,,"['Hume', 'Westmeadows', 'Sports', 'Football']",,
Willowbrook Reserve,Westmeadows,-37.675599,144.883689,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Hume,Mickleham Road Westmeadows 3049,,"['Hume', 'Westmeadows', 'Sports', 'Football']",,
Craigieburn Leisure Centre,Craigieburn,-37.599059999999994,144.934474,Badminton,,,4. Good,"Female, Male, Unisex",Hume,127-147 Craigieburn Road Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Badminton']",,
Boardman Stadium,Sunbury,-37.582257,144.693558,Basketball,4.0,Wooden Gymnasium,4. Good,"Female, Male",Hume,Wilsons Lane Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Basketball']",,
Broadmeadows Basketball Stadium,Broadmeadows,-37.680726,144.91456599999998,Basketball,4.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",Hume,40 Dimboola Road Broadmeadows 3047,,"['Hume', 'Broadmeadows', 'Sports', 'Basketball']",,
Broadmeadows Leisure Centre,Broadmeadows,-37.681087,144.915043,Basketball,2.0,Wooden Gymnasium,4. Good,"Female, Male, Unisex",Hume,Dimboola Road Broadmeadows 3047,,"['Hume', 'Broadmeadows', 'Sports', 'Basketball']",,
Greenvale Recreation Centre,Greenvale,-37.650308,144.892755,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male",Hume,27 Barrymore Road Greenvale 3059,,"['Hume', 'Greenvale', 'Sports', 'Basketball']",,
Meadow Heights Community Centre,Meadow Heights,-37.655,144.922,Basketball,1.0,Wooden Gymnasium,4. Good,,Hume,15-29 Buchan Street Meadow Heights 3047,,"['Hume', 'Meadow Heights', 'Sports', 'Basketball']",,
Progress Reserve,Coolaroo,-37.660356,144.93283200000002,Basketball,1.0,Wooden Gymnasium,3. Average,"Female, Male, Unisex",Hume,27-59 Almurta Avenue Coolaroo 3064,,"['Hume', 'Coolaroo', 'Sports', 'Basketball']",,
Action Indoor Sports Tullamarine,Tullamarine,-37.70224,144.884675,Beach Volleyball,1.0,,,,Hume,10 Carrick Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports']",,
Tullamarine Reserve,Tullamarine,-37.691742,144.874779,BMX,1.0,Dirt,2. Poor,Unisex,Hume,243 Melrose Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports']",,
Sunbury Aquatic and Leisure Centre,Sunbury,-37.575549,144.724605,Callisthenics,,,4. Good,"Female, Male, Unisex",Hume,20 Ligar Street Sunbury 3429,,"['Hume', 'Sunbury', 'Sports']",,
Anderson Reserve,Broadmeadows,-37.693205999999996,144.922092,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Hume,2-14 Glen Allen Street Broadmeadows 3047,,"['Hume', 'Broadmeadows', 'Sports', 'Cricket']",,
Gibb Reserve,Broadmeadows,-37.66788,144.93151899999998,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Hume,185-225 Blair Street Broadmeadows 3047,,"['Hume', 'Broadmeadows', 'Sports', 'Cricket']",,
Gladstone Park Reserve,Gladstone Park,-37.686436,144.88768000000002,Cricket,1.0,Synthetic Pitch,3. Average,"Umpire/Officials, Unisex",Hume,1-9 South Circular Road Gladstone Park 3043,,"['Hume', 'Gladstone Park', 'Sports', 'Cricket']",,
John Laffen Memorial Reserve,Donnybrook,-37.541906,144.953931,Cricket,2.0,Synthetic Pitch,2. Poor,Unisex,Hume,670 Donnybrook Road Donnybrook 3064,,"['Hume', 'Donnybrook', 'Sports', 'Cricket']",,
Langama Park,Sunbury,-37.586736,144.70996499999998,Cricket,2.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Hume,89-107 Mitchells Lane Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Cricket']",,
Rostron Reserve,Roxburgh Park,-37.631783,144.917454,Cricket,1.0,Synthetic Pitch,,,Hume,15 McPherson Boulevard Roxburgh Park 3064,,"['Hume', 'Roxburgh Park', 'Sports', 'Cricket']",,
Seabrook Reserve,Broadmeadows,-37.682503000000004,144.934339,Cricket,1.0,Synthetic Pitch,3. Average,"Umpire/Officials, Unisex",Hume,20 Goulburn Street Broadmeadows 3047,,"['Hume', 'Broadmeadows', 'Sports', 'Cricket']",,
Seth Raistrick Reserve,Campbellfield,-37.676587,144.95767800000002,Cricket,1.0,Synthetic Pitch,3. Average,,Hume,1678-1700 Sydney Road Campbellfield 3061,,"['Hume', 'Campbellfield', 'Sports', 'Cricket']",,
Westmeadows Heights Reserve,Westmeadows,-37.672131,144.906325,Cricket,1.0,Synthetic Pitch,,,Hume,116-138 Erinbank Crescent Westmeadows 3049,,"['Hume', 'Westmeadows', 'Sports', 'Cricket']",,
Fitness Arena,Coolaroo,-37.642728999999996,144.93232,Cricket (Indoor),,,,,Hume,33/22-36 Reservoir Drive Coolaroo 3064,,"['Hume', 'Coolaroo', 'Sports', 'Cricket']",,
Sunbury Indoor Sports Centre,Sunbury,-37.5875,144.7175,Cricket (Indoor),2.0,,,,Hume,63 Vineyard Road Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Cricket']",,
Sherwood - Oaklands Hunt Club,Greenvale,-37.630990999999995,144.851746,Equestrian,,,,,Hume,1060 Somerton Road Greenvale 3059,,"['Hume', 'Greenvale', 'Sports']",,
Sunbury Club Grounds,Sunbury,-37.587561,144.734195,Equestrian,,,,,Hume,Harker Street Sunbury 3429,,"['Hume', 'Sunbury', 'Sports']",,
Tullamarine Club Grounds,Greenvale,-37.642973,144.869687,Equestrian,,,,,Hume,Section Road Greenvale 3059,,"['Hume', 'Greenvale', 'Sports']",,
Craigieburn Golf Course,Craigieburn,-37.598603999999995,144.920847,Golf,1.0,18 Hole Course - Public,5. Very Good,,Hume,Craigieburn Road West Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Golf']",,
Goonawarra Public Golf Course,Sunbury,-37.586155,144.751294,Golf,1.0,18 Hole Course - Public,4. Good,"Female, Male",Hume,2 Francis Blvd Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Golf']",,
Tullamarine Country Golf Club,Tullamarine,-37.693625,144.83878700000002,Golf,,18 Hole Course - Public,,,Hume,Operations Road Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Golf']",,
Sunbury Gymnastic College,Sunbury,-37.586704,144.719324,Gymnastics,,,,,Hume,14 Sussex Court Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Gymnastics']",,
Broadmeadows Bowls Club,Jacana,-37.691259,144.907849,Lawn Bowls,1.0,Grass,4. Good,"Female, Male",Hume,111 Sunset Boulevard Jacana 3047,,"['Hume', 'Jacana', 'Sports']",,
Craigieburn Bowls Club,Craigieburn,-37.598462,144.92393,Lawn Bowls,2.0,"Artificial Turf, Grass",2. Poor,,Hume,245 Craigieburn Road Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports']",,
Gladstone Park Bowls Club,Gladstone Park,-37.695417,144.892899,Lawn Bowls,,,,,Hume,Carrick Drive Gladstone Park 3043,,"['Hume', 'Gladstone Park', 'Sports']",,
Sunbury Bowling Club,Sunbury,-37.572128,144.72253899999998,Lawn Bowls,3.0,Grass,4. Good,,Hume,49 Riddell Road Sunbury 3429,,"['Hume', 'Sunbury', 'Sports']",,
Jack Roper Reserve,Broadmeadows,-37.689708,144.93606699999998,Soccer,1.0,Grass,,,Hume,217-241 Camp Road Broadmeadows 3047,,"['Hume', 'Broadmeadows', 'Sports', 'Soccer']",,
Gladstone Park Squash,Tullamarine,-37.7005,144.885,Squash / Racquetball,,,,,Hume,35 Carrick Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Squash']",,
Branca Taekwondo (Learmonth Street Scout Hall),Sunbury,-37.581148999999996,144.69513999999998,Tae Kwon Do,,,,,Hume,45 Learmonth Street Sunbury 3429,,Martial Arts,,
Dallas Tennis Centre,Dallas,-37.672512,144.937827,Tennis (Outdoor),2.0,Artificial Turf,3. Average,,Hume,35 Hepburn Street Dallas 3047,,"['Hume', 'Dallas', 'Sports', 'Tennis']",,
Gladstone Park Tennis Club (Elmhurst Park),Gladstone Park,-37.694016,144.88701,Tennis (Outdoor),9.0,Clay,4. Good,"Female, Male",Hume,18 Elmhurst Road Gladstone Park 3043,,"['Hume', 'Gladstone Park', 'Sports', 'Tennis']",,
Hume Tennis & Community Centre,Craigieburn,-37.583477,144.90301599999998,Tennis (Outdoor),2.0,Clay,Same as above,,Hume,2-30 Newbury Boulevard Craigieburn 3064,,"['Hume', 'Craigieburn', 'Sports', 'Tennis']",,
Mt Carmel Tennis Club,Sunbury,-37.568898,144.716875,Tennis (Outdoor),4.0,Clay,,,Hume,16 Stewarts Lane Sunbury 3429,,"['Hume', 'Sunbury', 'Sports', 'Tennis']",,
Tullamarine Tennis Club,Tullamarine,-37.696644,144.872208,Tennis (Outdoor),6.0,Hard Court,4. Good,"Female, Male",Hume,Catherine Avenue Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Tennis']",,
Fernwood Women's Health Clubs,Tullamarine,-37.70207,144.883845,Fitness / Gymnasium Workouts,,,,,Hume,1/10 Carrick Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Gymnasium']",,
Focus Health & Fitness,Tullamarine,-37.700289,144.884997,Fitness / Gymnasium Workouts,,,,,Hume,35 Carrick Drive Tullamarine 3043,,"['Hume', 'Tullamarine', 'Sports', 'Gymnasium']",,
Red Rock Circuit,Gisborne South,-37.532786,144.66558,Cycling,1.0,Road,,,Hume,Mundy Road Gisborne South,,"['Hume', 'Gisborne South', 'Sports', 'Cycling']",,
South Gisborne Loop,Gisborne,-37.5337,144.67076,Cycling,1.0,,,,Hume,Deverall Road Gisborne,,"['Hume', 'Gisborne', 'Sports', 'Cycling']",,
Beach House Health & Fitness Boronia,Boronia,-37.861,145.2815,Aerobics,,,,,Knox,9/163 Boronia Road Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Aerobics']",,
Boronia Busybodies Health & Fitness Centre,Boronia,-37.861278000000006,145.284043,Aerobics,,,,,Knox,29 Erica Avenue Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Aerobics']",,
Curves Ferntree Gully,Ferntree Gully,-37.879,145.265,Aerobics,,,,,Knox,5/718 Burwood Highway Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Aerobics']",,
Fernwood Women's Health Club,Ferntree Gully,-37.882865,145.272334,Aerobics,,,,,Knox,6/1849 Ferntree Gully Road Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Aerobics']",,
Fitness First Health Clubs,Wantirna South,-37.869,145.243,Aerobics,,,,,Knox,509 Burwood Highway Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Aerobics']",,
Future Health & Fitness,Rowville,-37.91,145.2445,Aerobics,,,,,Knox,6 Laser Drive Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Aerobics']",,
Genesis Wantirna,Wantirna,-37.868207,145.260975,Aerobics,,,,,Knox,258 Scoresby Road Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Aerobics']",,
Goodlife Health Clubs,Wantirna,-37.854284,145.21717900000002,Aerobics,,,,,Knox,141 Mountain Highway Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Aerobics']",,
Jetts Fitness Boronia,Boronia,-37.861222999999995,145.285471,Aerobics,,,,,Knox,3/241 Dorset Road Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Aerobics']",,
Knox Leisureworks YMCA,Boronia,-37.85695,145.278334,Aerobics,,,,,Knox,Tormore Road Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Aerobics']",,
Platinum Health & Fitness Centre,Rowville,-37.920156,145.218242,Aerobics,,,,,Knox,Corporate Avenue Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Aerobics']",,
Winning Physique Gym,Ferntree Gully,-37.881857000000004,145.2965,Aerobics,,,,,Knox,3/170 Underwood Drive Ferntree Gully 3178,,"['Knox', 'Ferntree Gully', 'Sports', 'Aerobics']",,
Wow Health & Fitness,Wantirna South,-37.8705,145.2495,Aerobics,,,,,Knox,26/111 Lewis Road Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Aerobics']",,
Kings Park Reserve,Upper Ferntree Gully,-37.895894,145.300602,Athletics,1.0,Grass,,"Female, Male",Knox,Willow Road Upper Ferntree Gully 3156,,"['Knox', 'Upper Ferntree Gully', 'Sports', 'Athletics']",,
Knox Park Sporting Complex,Knoxfield,-37.897447,145.25831200000002,Athletics,1.0,Synthetic Running Track,,,Knox,Bunjil Way Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Athletics']",,
Batterham Reserve,The Basin,-37.854228000000006,145.301144,Australian Rules Football,2.0,Grass,,"Female, Male",Knox,Miller Road The Basin 3154,,"['Knox', 'The Basin', 'Sports', 'Football']",,
Benedikt Reserve,Scoresby,-37.892945000000005,145.236377,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Benedikt Court Scoresby 3179,,"['Knox', 'Scoresby', 'Sports', 'Football']",,
Carrington Park Reserve,Knoxfield,-37.896229999999996,145.24393500000002,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Ferntree Gully Road Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Football']",,
Chandler Park Reserve,Boronia,-37.860864,145.290982,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Chandler Road Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Football']",,
Dobson Park Reserve,Ferntree Gully,-37.877866,145.285869,Australian Rules Football,1.0,Grass,,Male,Knox,Dorset Road Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Football']",,
Eildon Park Reserve,Rowville,-37.918433,145.252051,Australian Rules Football,2.0,Grass,,,Knox,Eildon Parade Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Football']",,
Fairpark Reserve,Ferntree Gully,-37.868789,145.263283,Australian Rules Football,1.0,Grass,,,Knox,Manuka Drive Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Football']",,
Knox Gardens Reserve,Wantirna South,-37.881089,145.226664,Australian Rules Football,2.0,Grass,,"Female, Male",Knox,Argyle Way Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Football']",,
Lakesfield Reserve,Lysterfield,-37.912384,145.278083,Australian Rules Football,1.0,Grass,,,Knox,Lakesfield Drive Lysterfield 3156,,"['Knox', 'Lysterfield', 'Sports', 'Football']",,
Lewis Park Reserve,Wantirna South,-37.865221999999996,145.246971,Australian Rules Football,2.0,Grass,,"Female, Male",Knox,Lewis Road Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Football']",,
Liberty Avenue Reserve,Rowville,-37.93122,145.242051,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Liberty Avenue Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Football']",,
Marie Wallace Bayswater Park,Bayswater,-37.837551,145.269533,Australian Rules Football,2.0,Grass,,"Female, Male",Knox,Bayswater Road Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Football']",,
Miller Park Reserve,The Basin,-37.847384999999996,145.30611000000002,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Mountain Highway The Basin 3154,,"['Knox', 'The Basin', 'Sports', 'Football']",,
Pickett Reserve,Ferntree Gully,-37.881457,145.276892,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Commercial Road Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Football']",,
