Municipality,Place Name,Feature Type Code,Feature Type,Longitude,Latitude,Historical Information,Url,Organisation Name
BULOKE SHIRE,LAKE BULOKE,LAKE,LAKE,142.9631547,-36.2688574,"Traditional Name: Banyenong Explanation: banye = burning of roots & stumps,  nong = the past Discussion on Current Name: lake NW of Donald,  known as Lake Banyenong in 1870s. Buloke is the general word for lake,  this general term took over from the specific one, since the lake was known as L Banyenong (Chauncy in Smyth 1878b: 205,  Hercus 1999),  Chauncy in Smyth 1878b: 205.",http://www.vaclang.org.au,
BULOKE SHIRE,LAKE BULOKE,LAKE,LAKE,142.9631547,-36.2688574,"Traditional Name: Buluk Explanation: lake Discussion on Current Name: Buloke is the general word for 'lake' in Djadjawurrung, which is used here to refer to a specific lake. In this case, it can actually be shown that the general term took over from the specific one since the lake was known as Lake Banyenong (Hercus 1999),  Hartmann in Smyth 1878b: 176.",http://www.vaclang.org.au,
GLENELG SHIRE,LAKE BUNG BUNG,LAKE,LAKE,141.1790241,-38.1310382,"'Research in the Department of Crown Lands and Survey revealed that the following names have been used for this feature - Bong Bong, Bung Bung, Morniboeng, Moniboeng, Monboeng, and Monbeong.' 'The Shire of Portland, in a letter dated 18th May, 1972, stated inter alia, 'while this Council is agreeable to the name of the lake being Momboeng, it suggests that the spelling should be 'eo' instead of 'oe', as residents with knowledge of the area insist that this is the original spelling.'",,
GLENELG SHIRE,LAKE BUNG BUNG,LAKE,LAKE,141.1790241,-38.1310382,Traditional Name: Mombeong Explanation: mum = bottom Discussion on Current Name: Learmonth 1970: 107.,http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,LAKE BUNGA,LAKE,LAKE,148.0442654,-37.8644191,"Traditional Name: Wurndoang Explanation: salt lake Discussion on Current Name: According to Gardner (1990: 37) Bunga is derived from the Ganai word meaning big, however the original n was Wurndoang.  Lune beeuke was another,  Hagenauer in Smyth 1878b: 191.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,LAKE BUNGA,LAKE,LAKE,148.0442654,-37.8644191,Traditional Name: Bunga Explanation: N/A Discussion on Current Name: Gardner 1991: 37.,http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,LAKE BUNGA,LAKE,LAKE,148.0442654,-37.8644191,Alternative traditional name: Lane Beuk.  'Good water',,
EAST GIPPSLAND SHIRE,LAKE BUNGA,LAKE,LAKE,148.0442654,-37.8644191,Traditional name: Wurndoang. 'Salt lake',,
EAST GIPPSLAND SHIRE,LAKE BUNGA FORESHORE RESERVE,PARK,PARK,148.0414403,-37.8616719,,,
ARARAT RURAL CITY,LAKE BUNINJON,LAKE,LAKE,142.7851481,-37.4752607,"Traditional Name: Buninjon Explanation: N/A Discussion on Current Name: also a clan name: Punnoinjon gundidj (Clark 1990a: 129),  Clark 1990a: 129.",http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE BURN,LAKE,LAKE,143.7299307,-38.2930937,,,
BALLARAT CITY,LAKE BURRUMBEET,LAKE,LAKE,143.6448889,-37.5028104,"Traditional Name: Burrumbidj Explanation: muddy, dirty water Discussion on Current Name: The Burrumbeet balug Wathawurrung clan at Lakes Burrumbeet and Learmonth (Clark 1990a: 311),  Porteous in Smyth 1878b: 178,  Blake Papers 2000.",http://www.vaclang.org.au,
BALLARAT CITY,LAKE BURRUMBEET PARK,PARK,PARK,143.6673611,-37.4931944,,,
MOYNE SHIRE,LAKE BUTTABOOL,LAKE,LAKE,142.2544532,-38.008368,,,
COLAC OTWAY SHIRE,LAKE CALDER,LAKE,LAKE,143.4589285,-38.7837194,,,
MILDURA RURAL CITY,LAKE CANTALA,LAKE,LAKE,142.4482988,-34.6680078,,,
HORSHAM RURAL CITY,LAKE CARCHAP,LAKE,LAKE,141.8261143,-36.8902463,"Traditional Name: Katyap Explanation: armpit Discussion on Current Name: one of six swamps within 4.8 km of Clear Lake,  Surveyors' Returns, 1869-70.",http://www.vaclang.org.au,
SWAN HILL RURAL CITY,LAKE CARPAL,LAKE,LAKE,142.8921152,-34.7280734,,,
WEST WIMMERA SHIRE,LAKE CARPOLAC,LAKE,LAKE,141.3218311,-36.8533741,"Traditional Name: Karbuluk Explanation: gar = nose/pointed mountain,  buluk = lake Discussion on Current Name: lake W of Goroke,  Blake 1977: 151,  Hercus 1986.",http://www.vaclang.org.au,
SWAN HILL RURAL CITY,LAKE CARPUL,LAKE,LAKE,142.8921152,-34.7280734,,,
SWAN HILL RURAL CITY,LAKE CARRUL,LAKE,LAKE,142.8921152,-34.7280734,,,
MOYNE SHIRE,LAKE CARTCARRONG,LAKE,LAKE,142.4530372,-38.2435873,"Traditional Name: Cartcurrong Explanation: N/A Discussion on Current Name: note the Cartcorang gundidj clan at this locality (Clark 1990a: 60),  Robinson jnl, 24/6/1841.",http://www.vaclang.org.au,
MOYNE SHIRE,LAKE CARTCARRONGE,LAKE,LAKE,142.4530372,-38.2435873,"Traditional Name: Cartcurrong Explanation: N/A Discussion on Current Name: note the Cartcorang gundidj clan at this locality (Clark 1990a: 60),  Robinson jnl, 24/6/1841.",http://www.vaclang.org.au,
ALPINE SHIRE,LAKE CATANI,LAKE,LAKE,146.8099202,-36.7336173,"'C. Catani, an engineer with P. W. D. (Chief Engineer?) associated with the building of the access road and possibly with the works required to dam the lake.'",,
WEST WIMMERA SHIRE,LAKE CHARAM,LAKE,LAKE,141.515464,-36.981792,"According to Blake, either the area is named after W. Sharam who settled at Poolaijelo (the other side of Edenhope from Charam), or it takes its name from an Aboriginal word for reed spear.",,
WEST WIMMERA SHIRE,LAKE CHARLEGRARK,LAKE,LAKE,141.2389117,-36.767244,"Traditional Name: Charlegrark Explanation: djali = lip, mouth Discussion on Current Name: lake WSW of Goroke,  Blake 1977: 151.",http://www.vaclang.org.au,
WEST WIMMERA SHIRE,LAKE CHARLEYGRARK,LAKE,LAKE,141.2389117,-36.767244,"Traditional Name: Charlegrark Explanation: djali = lip, mouth Discussion on Current Name: lake WSW of Goroke,  Blake 1977: 151.",http://www.vaclang.org.au,
GANNAWARRA SHIRE,LAKE CHARM,LAKE,LAKE,143.8241516,-35.6006096,"Lake named by Major Thomas L. Mitchell.  See 'Three Journeys into the Interior of Australia', Vol.2.",,
GANNAWARRA SHIRE,LAKE CHARM,LAKE,LAKE,143.8241516,-35.6006096,"Traditional Name: Tyarrm Explanation: throwing spear Discussion on Current Name: Known as Murdering Lake in 1870 (CS to SG, 8/8/1870),  CS to SG, 8/8/1870,  Stone 1911: 435.",http://www.vaclang.org.au,
HORSHAM RURAL CITY,LAKE CLARKE,LAKE,LAKE,141.858364,-36.8648038,,,
HORSHAM RURAL CITY,LAKE CLARKES,LAKE,LAKE,141.858364,-36.8648038,,,
WANGARATTA RURAL CITY,LAKE COBBLER,LAKE,LAKE,146.6281011,-37.050635,,,
CORANGAMITE SHIRE,LAKE COBRICO,LAKE,LAKE,143.0104801,-38.3064598,,,
WEST WIMMERA SHIRE,LAKE COCUMBUL,LAKE,LAKE,141.4053139,-36.9477639,Traditional Name: Cogumbul Explanation: N/A Discussion on Current Name: Blake 1977: 151.,http://www.vaclang.org.au,
WEST WIMMERA SHIRE,LAKE COGUMBUL,LAKE,LAKE,141.4053139,-36.9477639,Traditional Name: Cogumbul Explanation: N/A Discussion on Current Name: Blake 1977: 151.,http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE COLAC,LAKE,LAKE,143.5943207,-38.3040067,Traditional name:  Koram.,,
COLAC OTWAY SHIRE,LAKE COLAC,LAKE,LAKE,143.5943207,-38.3040067,Traditional Name: Koram Explanation: N/A Discussion on Current Name: SG in Smyth 1878b: 193.,http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE COLAC,LAKE,LAKE,143.5943207,-38.3040067,Traditional Name: Kulak Explanation: sand Discussion on Current Name: Dawson 1881: lxxx.,http://www.vaclang.org.au,
WELLINGTON SHIRE,LAKE COLEMAN,LAKE,LAKE,147.3371338,-38.1494938,,,
CORANGAMITE SHIRE,LAKE COLONGULAC,LAKE,LAKE,143.1637498,-38.1738161,"Traditional Name: Kurnkulak Explanation: small sand Discussion on Current Name: The Koenghegulluc Djargurdwurrung clan occupied L Colongulac and E to Mt Myrtoon,  Robinson in Clark 2000g: 66.",http://www.vaclang.org.au,
CORANGAMITE SHIRE,LAKE COLONGULAC,LAKE,LAKE,143.1637498,-38.1738161,Traditional name:  Cohnggulac keeling.,,
GLENELG SHIRE,LAKE CONDAH,LAKE,LAKE,141.8340798,-38.0645018,Traditional Name: Karrap Explanation: lake Discussion on Current Name: Lane in Smyth 1878b: 187.,http://www.vaclang.org.au,
GLENELG SHIRE,LAKE CONDAH,LAKE,LAKE,141.8340798,-38.0645018,"Traditional Name: Tyarrk Explanation: reed, common, Phragmites australis Discussion on Current Name: Dawson 1881: lxxxii,  Krishna-Pillay 1996: 196.",http://www.vaclang.org.au,
GLENELG SHIRE,LAKE CONDAH,LAKE,LAKE,141.8340798,-38.0645018,Traditional name:  Condam keelink.,,
GLENELG SHIRE,LAKE CONDAH,LAKE,LAKE,141.8340798,-38.0645018,Traditional Name: Koondoom Explanation: water Discussion on Current Name: Mathew papers 1907 in Clark 1990a: 25.,http://www.vaclang.org.au,
GLENELG SHIRE,LAKE CONDAH,LAKE,LAKE,141.8340798,-38.0645018,"Traditional Name: Gundidj Explanation: 'belonging to' Discussion on Current Name: one of four names for this feature.  Gundidj is not supported in any other nineteenth century source, and the evidence suggests Stahle misunderstood his Aboriginal sources,  Stahle 1880 in Howitt Papers.",http://www.vaclang.org.au,
GLENELG SHIRE,LAKE CONDAH STATE GAME RESERVE,PARK,PARK,141.8309722,-38.0584722,,,
GREATER GEELONG CITY,LAKE CONEWARRE,LAKE,LAKE,144.4547587,-38.2264825,"Traditional Name: Kunawarr keelingk Explanation: swan-lake Discussion on Current Name: James Tait adopted n for stn there in 1849. Also Connewarra,  Lane in Smyth 1878b: 187.",http://www.vaclang.org.au,
GREATER GEELONG CITY,LAKE CONNEWARRE,LAKE,LAKE,144.4547587,-38.2264825,"Traditional Name: Kunawarr keelingk Explanation: swan-lake Discussion on Current Name: James Tait adopted n for stn there in 1849. Also Connewarra,  Lane in Smyth 1878b: 187.",http://www.vaclang.org.au,
MOYNE SHIRE,LAKE CONNEWARREN,LAKE,LAKE,142.6957563,-38.0784208,,,
CAMPASPE SHIRE,LAKE COOPER,NBHD,NEIGHBOURHOOD,144.7751389,-36.52875,"Traditional Name: Paboinbulluk Explanation: shallow lake (bulluk = lake) Discussion on Current Name: known to Curr (1848 map in Curr 1965) as Paboinbullok, but acknowledges that it was also called Lake Cowper,  n after Jason Cowper who occupied Boramboot (q.v.) and Stewart's Plains 1844-49. Known as Cooper's Lake in SG in Smyth 1878b: 198,  Curr 1965: 39,  Nicholson 2002.",http://www.vaclang.org.au,
CAMPASPE SHIRE,LAKE COOPER,LAKE,LAKE,144.8061154,-36.4945974,"Traditional Name: Paboinbulluk Explanation: shallow lake (bulluk = lake) Discussion on Current Name: known to Curr (1848 map in Curr 1965) as Paboinbullok, but acknowledges that it was also called Lake Cowper,  n after Jason Cowper who occupied Boramboot (q.v.) and Stewart's Plains 1844-49. Known as Cooper's Lake in SG in Smyth 1878b: 198,  Curr 1965: 39,  Nicholson 2002.",http://www.vaclang.org.au,
CAMPASPE SHIRE,LAKE COOPER,NBHD,NEIGHBOURHOOD,144.7751389,-36.52875,"Traditional Name: Tongillum Explanation: (y)ellam/(y)illam = camp Discussion on Current Name: Robinson jnl, 4/10/1847.",http://www.vaclang.org.au,
CAMPASPE SHIRE,LAKE COOPER,LAKE,LAKE,144.8061154,-36.4945974,"Traditional Name: Tongillum Explanation: (y)ellam/(y)illam = camp Discussion on Current Name: Robinson jnl, 4/10/1847.",http://www.vaclang.org.au,
YARRIAMBIACK SHIRE,LAKE COORONG,LAKE,LAKE,142.396828,-35.7304139,"Traditional Name: Yarak Explanation: N/A Discussion on Current Name: Yarak represents the lake and country around. The Yarrikuluk (Wergaia) clan at L Coorong, aka Corong,  Hartmann in Smyth 1878b: 176.",http://www.vaclang.org.au,
YARRIAMBIACK SHIRE,LAKE COORONG,LAKE,LAKE,142.396828,-35.7304139,Traditional name: Yarak.,,
YARRIAMBIACK SHIRE,LAKE COORONG,LAKE,LAKE,142.396828,-35.7304139,Traditional Name: Gurrong Explanation: canoe Discussion on Current Name: Blake 1991: 112.,http://www.vaclang.org.au,
BULOKE SHIRE,LAKE COPE COPE,LAKE,LAKE,143.0324528,-36.460184,"Traditional Name: Gope Gope Explanation: N/A Discussion on Current Name: also farming district, Cope Cope, SW of Donald,  ""You take one big bottle and two three little ones - you pour water out of little fellows into big fellow then big fellow same Gope Gope 'cause he take all the water away from little fellows,  DS to SG, 5/8/1870.",http://www.vaclang.org.au,
WEST WIMMERA SHIRE,LAKE COPPER COLOUR,LAKE,LAKE,141.7690719,-36.9888476,,,
CORANGAMITE SHIRE,LAKE CORADGILL,LAKE,LAKE,143.3550675,-38.1101188,Traditional Name: Coradjil Explanation: native doctor Discussion on Current Name: Scott in Smyth 1878b: 181.,http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE CORAGULAC,LAKE,LAKE,143.5166289,-38.2498666,"Traditional Name: Corakulak Explanation: kolak = sand Discussion on Current Name: township and rural locality take its n from this waterbody,  Pascoe Papers 1999.",http://www.vaclang.org.au,
YARRA RANGES SHIRE,LAKE CORANDERRK,LAKE,LAKE,145.5291527,-37.6883365,Coranderrk Bushland Reserve. Artificial reservoir just south of the Healesville Sanctuary. See also Coranderrk Aboriginal Station.,,
CORANGAMITE SHIRE,LAKE CORANGAMITE,LAKE,LAKE,143.4260288,-38.1809956,"Traditional Name: Korraiynamitj Explanation: bitter water Discussion on Current Name: in 1838 Joseph Pollockused this indigenous n for the pastoral run E of L Colac,  local clan Korraiynamitj gundidj,  Porteous in Smyth 1878b: 179.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,LAKE CORRINGLE GAME RESERVE,PARK,PARK,148.51125,-37.7651389,"Named after the schooner Coringle, which plied the Snowy River.",http://www.bcs.asn.au/vic_coast.pdf,
COLAC OTWAY SHIRE,LAKE COSTIN,LAKE,LAKE,143.478915,-38.7802784,,,
COLAC OTWAY SHIRE,LAKE CRAVEN,LAKE,LAKE,143.4759282,-38.7885962,,,
GLENELG SHIRE,LAKE CRAWFORD,LAKE,LAKE,141.4149675,-37.9171639,,,
MILDURA RURAL CITY,LAKE CROSBIE,LAKE,LAKE,141.7242007,-35.0483611,"'According to articles in the Victorian Naturalist of January. 1914, and April, 1936, the lake is named after Mr. David Crosbie, who explored the region in 1913 in search of new lands for settlement.  Information in the Department of Crown Lands and Survey has confirmed this, and added that Mr. A. S. Kenyon was in charge of the survey party.'",,
MILDURA RURAL CITY,LAKE CROSBY,LAKE,LAKE,141.7242007,-35.0483611,"'According to articles in the Victorian Naturalist of January. 1914, and April, 1936, the lake is named after Mr. David Crosbie, who explored the region in 1913 in search of new lands for settlement.  Information in the Department of Crown Lands and Survey has confirmed this, and added that Mr. A. S. Kenyon was in charge of the survey party.'",,
WEST WIMMERA SHIRE,LAKE CULLA CULLA,LAKE,LAKE,141.6512409,-37.0495193,,,
GANNAWARRA SHIRE,LAKE CULLEN,LAKE,LAKE,143.7721045,-35.6403869,,,
GANNAWARRA SHIRE,LAKE CULLENS,LAKE,LAKE,143.7721045,-35.6403869,,,
MILDURA RURAL CITY,LAKE CULLULERAINE,LAKE,LAKE,141.5947646,-34.2679208,"Traditional Name: Cullulleraine Explanation: N/A Discussion on Current Name: township on lake and Sturt Hwy W of Red Cliffs,  Blake 1977: 151.",http://www.vaclang.org.au,
MILDURA RURAL CITY,LAKE CULLULLERAINE,LAKE,LAKE,141.5947646,-34.2679208,"Traditional Name: Cullulleraine Explanation: N/A Discussion on Current Name: township on lake and Sturt Hwy W of Red Cliffs,  Blake 1977: 151.",http://www.vaclang.org.au,
MILDURA RURAL CITY,LAKE CULLULLRAINE,LAKE,LAKE,141.5947646,-34.2679208,"Traditional Name: Cullulleraine Explanation: N/A Discussion on Current Name: township on lake and Sturt Hwy W of Red Cliffs,  Blake 1977: 151.",http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE CUNDARE,LAKE,LAKE,143.6154948,-38.1539768,"Traditional Name: Kundare Explanation: N/A Discussion on Current Name: E of L Corangamite,  Scott in Smyth 1878b: 181.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,LAKE CURLIP,LAKE,LAKE,148.5653591,-37.7508131,,,
EAST GIPPSLAND SHIRE,LAKE CURLIP STATE GAME RESERVE,PARK,PARK,148.5679167,-37.7551389,,,
HEPBURN SHIRE,LAKE DAYLESFORD,LAKE,LAKE,144.1374017,-37.3471146,,,
WELLINGTON SHIRE,LAKE DENISON,LAKE,LAKE,147.1473839,-38.4005735,"Named after Sir William Denison, Lieutenant-Governor of Tasmania.",http://www.bcs.asn.au/vic_coast.pdf,
WEST WIMMERA SHIRE,LAKE DEWABBIN,LAKE,LAKE,141.5592836,-37.0810978,,,
SOUTHERN GRAMPIANS SHIRE,LAKE DOLING DOLING,LAKE,LAKE,142.0761686,-37.7042989,,,
WEST WIMMERA SHIRE,LAKE DOLLANOKE,LAKE,LAKE,141.5829187,-37.0343627,Traditional Name: Dollanoke Explanation: N/A Discussion on Current Name: Blake 1977: 151.,http://www.vaclang.org.au,
SURF COAST SHIRE,LAKE DUBBAN,LAKE,LAKE,144.068041,-38.2248053,,,
HORSHAM RURAL CITY,LAKE DUCHEMBEGARRA,LAKE,LAKE,141.9329167,-36.6351389,,,
MANSFIELD SHIRE,LAKE EILDON,LAKE,LAKE,145.9840886,-37.2383247,,,
MANSFIELD SHIRE,LAKE EILDON COUNTRY CLUB,CAGR,CAMP GROUND,145.9834722,-37.0898611,,,
CORANGAMITE SHIRE,LAKE ELINGAMITE,LAKE,LAKE,143.0069875,-38.3547225,Traditional name: Elingamitch keeling.,,
CORANGAMITE SHIRE,LAKE ELINGAMITE,LAKE,LAKE,143.0069875,-38.3547225,"Traditional Name: Yelingamadj keelingk Explanation: keelingk = lake Discussion on Current Name: Ewen McDonnell n stn W of Camperdown 1845,  local Giraiwurrung clan Yelingamadj gundidj (Clark 1990a: 209),  Robinson jnl, 9/4/1841,  Clark 2000g: 66.",http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE ELIZABETH,LAKE,LAKE,143.7587952,-38.5524355,,,
GANNAWARRA SHIRE,LAKE ELIZABETH,LAKE,LAKE,143.8208753,-35.6976777,,,
GREATER BENDIGO CITY,LAKE EPPALOCK,LAKE,LAKE,144.5686771,-36.869706,,,
PYRENEES SHIRE,LAKE ERCILDOUN,LAKE,LAKE,143.6079749,-37.3965157,,,
BALLARAT CITY,LAKE ESMOND BOTANICAL PARK,PARK,PARK,143.8740003,-37.5748398,,,
CORANGAMITE SHIRE,LAKE ETTRICK,LAKE,LAKE,143.2715491,-37.9803895,,,
MOYNE SHIRE,LAKE EYANG,LAKE,LAKE,142.8248582,-37.8605705,"Traditional Name: Kuyang Explanation: eel, freshwater Discussion on Current Name: S of L Bolac,  Scott in Smyth 1878b: 181.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,LAKE FURNELL,LAKE,LAKE,149.1163211,-37.7173292,,,
NORTHERN GRAMPIANS SHIRE,LAKE FYANS,LAKE,LAKE,142.6228207,-37.1376563,"Traditional Name: Martang Explanation: N/A Discussion on Current Name: n after Cap't Foster Fyans, appointed Crown Lands Commissioner 1840s,  Massola 1968: 23.",http://www.vaclang.org.au,
WARRNAMBOOL CITY,LAKE GALEAR,LAKE,LAKE,142.5940922,-38.4293326,"Traditional Name: Gillear Explanation: N/A Discussion on Current Name: lake district ESE from Warrnambool,  aka Galear, Gillier and Giller,  Blake 1977: 152.",http://www.vaclang.org.au,
MOYNE SHIRE,LAKE GELLIE,LAKE,LAKE,143.0326605,-37.8256427,,,
MOYNE SHIRE,LAKE GELLIES,LAKE,LAKE,143.0326605,-37.8256427,,,
ARARAT RURAL CITY,LAKE GHENTEEN,LAKE,LAKE,142.8206944,-37.7476389,The name of this lake was documented in the original survey maps of 1857.,,
SURF COAST SHIRE,LAKE GHERANG,LAKE,LAKE,144.0645819,-38.2544674,"Traditional Name: Djarring Explanation: black cockatoo Discussion on Current Name: see Gherang Gherang,  Blake et al 1998: 101.",http://www.vaclang.org.au,
WARRNAMBOOL CITY,LAKE GILLEAR,LAKE,LAKE,142.5940922,-38.4293326,"Traditional Name: Gillear Explanation: N/A Discussion on Current Name: lake district ESE from Warrnambool,  aka Galear, Gillier and Giller,  Blake 1977: 152.",http://www.vaclang.org.au,
WARRNAMBOOL CITY,LAKE GILLER,LAKE,LAKE,142.5940922,-38.4293326,"Traditional Name: Gillear Explanation: N/A Discussion on Current Name: lake district ESE from Warrnambool,  aka Galear, Gillier and Giller,  Blake 1977: 152.",http://www.vaclang.org.au,
WARRNAMBOOL CITY,LAKE GILLIER,LAKE,LAKE,142.5940922,-38.4293326,"Traditional Name: Gillear Explanation: N/A Discussion on Current Name: lake district ESE from Warrnambool,  aka Galear, Gillier and Giller,  Blake 1977: 152.",http://www.vaclang.org.au,
GANNAWARRA SHIRE,LAKE GILMOUR GAME RESERVE,PARK,PARK,143.6265278,-35.7790278,,,
WELLINGTON SHIRE,LAKE GLENMAGGIE,LAKE,LAKE,146.7684947,-37.9065997,,,
COLAC OTWAY SHIRE,LAKE GNALINEGURK,LAKE,LAKE,143.4910495,-38.257236,,,
ARARAT RURAL CITY,LAKE GNARIMARA,LAKE,LAKE,142.9069615,-37.7308907,,,
CORANGAMITE SHIRE,LAKE GNARPURT,LAKE,LAKE,143.3892037,-38.0552971,"Traditional Name: Ngarpurt Explanation: N/A Discussion on Current Name: once called Kinloch Abbett or Little Corangamite NW of L Corangamite,  Porteous in Smyth 1878b: 179.",http://www.vaclang.org.au,
CORANGAMITE SHIRE,LAKE GNARPURT,LAKE,LAKE,143.3892037,-38.0552971,Historic name: Lake Gnarpart.  Traditional name:  Gnarpart.,,
CORANGAMITE SHIRE,LAKE GNARPURT,LAKE,LAKE,143.3892037,-38.0552971,"Traditional Name: Kongiadigallock Explanation: yaluk = creek/river Discussion on Current Name: previously known as Little Corangamite,  Buckley in Morgan 1967: 36.",http://www.vaclang.org.au,
CORANGAMITE SHIRE,LAKE GNOTUK,LAKE,LAKE,143.1014814,-38.2205952,Traditional name: Gnutook keeling.,,
CORANGAMITE SHIRE,LAKE GNOTUK,LAKE,LAKE,143.1014814,-38.2205952,"Traditional Name: Ngutuk-killingk Explanation: 'my lake' or 'your lake' Discussion on Current Name: W of Camperdown,  also farming district of Gnotuk,  Lane in Smyth 1878b: 187.",http://www.vaclang.org.au,
CORANGAMITE SHIRE,LAKE GNOTUK,LAKE,LAKE,143.1014814,-38.2205952,Traditional Name: Yammercurrermudjoke Explanation: N/A Discussion on Current Name: Robinson in Clark 2000g: 88.,http://www.vaclang.org.au,
NORTHERN GRAMPIANS SHIRE,LAKE GOASSY,LAKE,LAKE,143.0629928,-36.4570204,"Traditional Name: Ngarupen Explanation: smelly Discussion on Current Name: Cope Cope, Lake (q.v.),  Lake at the back of Miller's Inn, at Cope Cope [ie Nurrumbeet, Lake (q.v.)],  Chauncy in Smyth 1878b: 211.",http://www.vaclang.org.au,
PYRENEES SHIRE,LAKE GOLDSMITH,LAKE,LAKE,143.3553732,-37.5329123,"Traditional Name: Yangrawil Explanation: having birds Discussion on Current Name: n after Adolphus Goldsmith,  Porteous in Smyth 1878b: 179.",http://www.vaclang.org.au,
PYRENEES SHIRE,LAKE GOLDSMITH,LAKE,LAKE,143.3553732,-37.5329123,Traditional name: Yangrawill.,,
MOYNE SHIRE,LAKE GORRIE,LAKE,LAKE,141.9613208,-38.1090722,,,
NORTHERN GRAMPIANS SHIRE,LAKE GRASSY,LAKE,LAKE,143.0629928,-36.4570204,"Traditional Name: Ngarupen Explanation: smelly Discussion on Current Name: Cope Cope, Lake (q.v.),  Lake at the back of Miller's Inn, at Cope Cope [ie Nurrumbeet, Lake (q.v.)],  Chauncy in Smyth 1878b: 211.",http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE GUNDARE,LAKE,LAKE,143.6154948,-38.1539768,"Traditional Name: Kundare Explanation: N/A Discussion on Current Name: E of L Corangamite,  Scott in Smyth 1878b: 181.",http://www.vaclang.org.au,
ARARAT RURAL CITY,LAKE GUNJAL,LAKE,LAKE,142.9200804,-37.7276052,,,
WELLINGTON SHIRE,LAKE GUTHERIDGE,LAKE,LAKE,147.0748143,-38.112891,,,
WELLINGTON SHIRE,LAKE GUTHRIDGE,LAKE,LAKE,147.0748143,-38.112891,,,
ALPINE SHIRE,LAKE GUY,LAKE,LAKE,147.2264166,-36.801899,,,
WELLINGTON SHIRE,LAKE GUYATT,LAKE,LAKE,147.0747653,-38.1170299,,,
WELLINGTON SHIRE,LAKE GUYATT RESERVE,PARK,PARK,147.0747639,-38.1170339,,,
SOUTHERN GRAMPIANS SHIRE,LAKE HAMILTON,LAKE,LAKE,142.0427465,-37.7324943,,,
MILDURA RURAL CITY,LAKE HARDY,LAKE,LAKE,141.7365702,-35.0672612,Named after one of the party who accompanied A.S. Kenyon and D. Crosbie on their discovery of the Pink Lakes.,,
INDIGO SHIRE,LAKE HARVEY,LAKE,LAKE,146.876948,-36.3501184,,,
MILDURA RURAL CITY,LAKE HATTAH,LAKE,LAKE,142.3459766,-34.7575821,,,
MILDURA RURAL CITY,LAKE HAWTHORN,LAKE,LAKE,142.0989925,-34.1992779,,,
EAST GIPPSLAND SHIRE,LAKE HILL,LAKE,LAKE,147.9353851,-37.1579488,,,
HINDMARSH SHIRE,LAKE HINDMARSH,NBHD,NEIGHBOURHOOD,141.83875,-36.08875,"Traditional Name: Gur Explanation: ironbark blossom Discussion on Current Name: n by explorer Edward John Eyre, Governor of South Australia. Local clan: Gur balug,  Robinson jnl, 27/5/1840.",http://www.vaclang.org.au,
HINDMARSH SHIRE,LAKE HINDMARSH,LAKE,LAKE,141.9056345,-36.0475288,"Traditional Name: Gur Explanation: ironbark blossom Discussion on Current Name: n by explorer Edward John Eyre, Governor of South Australia. Local clan: Gur balug,  Robinson jnl, 27/5/1840.",http://www.vaclang.org.au,
COLAC OTWAY SHIRE,LAKE HORDERN,LAKE,LAKE,143.4664287,-38.774799,,,
WODONGA CITY,LAKE HUME,LAKE,LAKE,147.0540299,-36.1596441,,,
MILDURA RURAL CITY,LAKE IRAAK,LAKE,LAKE,142.3241154,-34.4176865,,,
WEST WIMMERA SHIRE,LAKE JAIE JAIE,LAKE,LAKE,141.0410563,-36.9375007,,,
WEST WIMMERA SHIRE,LAKE JARRACTEER,LAKE,LAKE,141.5785716,-37.0434156,Traditional Name: Jarracteer Explanation: N/A Discussion on Current Name: Blake 1977: 152.,http://www.vaclang.org.au,
SOUTHERN GRAMPIANS SHIRE,LAKE JENNAWARRA,LAKE,LAKE,142.2171278,-37.7547161,traditional name: Tunneyare.,,
SOUTHERN GRAMPIANS SHIRE,LAKE JENNAWARRA,LAKE,LAKE,142.2171278,-37.7547161,"Traditional Name: Tarrae-yarr Explanation: reedy ground Discussion on Current Name: n. by Maj Mitchell, possibly after town W of Edinburgh, Scotland,  Robinson jnl, 7/5/1841, 1/7/1841.",http://www.vaclang.org.au,
YARRIAMBIACK SHIRE,LAKE JERRIWIRRUP,LAKE,LAKE,142.0388989,-35.5371184,Traditional Name: Djerriwirb Explanation: wart on tree Discussion on Current Name: Hartmann in Smyth 1878b: 176.,http://www.vaclang.org.au,
ARARAT RURAL CITY,LAKE JOLLICUM,LAKE,LAKE,143.0359557,-37.7377973,"Traditional Name: Jollikum Explanation: N/A Discussion on Current Name: lake S of Streatham,  Robinson jnl, 27/5/1840.",http://www.vaclang.org.au,
